player,sleeper,espn,underdog,ffc
Josh Allen,28.2,36,36,21.4
Lamar Jackson,37.9,88,56,50.6
Drake Maye,51.2,89,65,63.3
Jayden Daniels,62.1,87,67,78.3
Joe Burrow,57.1,108,68,45.2
Caleb Williams,82.9,124,70,99.9
Jalen Hurts,67.2,90,71,89.5
Dak Prescott,90.3,119,80,62.1
Justin Herbert,83.7,131,81,79.2
Trevor Lawrence,92.3,118,85,87.3
Patrick Mahomes,100.1,132,92,95.1
Brock Purdy,103.5,121,96,91.6
Jaxson Dart,,,102,120.3
Matthew Stafford,115.2,123,105,99.1
Bo Nix,118.7,120,107,125.1
Jared Goff,122.0,187,110,103.1
Kyler Murray,142.2,182,112,144.1
Jordan Love,124.8,284,113,134.1
Baker Mayfield,140.9,204,118,136.6
Tyler Shough,,,123,152.9
Malik Willis,137.8,206,135,
Cam Ward,165.9,286,138,
Sam Darnold,165.3,321,140,158.9
C.J. Stroud,163.4,290,143,
Daniel Jones,195.1,186,146,170.2
Bryce Young,,,158,
Aaron Rodgers,,387,177,
Geno Smith,,384,183,
Jacoby Brissett,200.9,389,195,
Tua Tagovailoa,236.5,423,204,
Deshaun Watson,,388,239,
Kirk Cousins,,430,242,
