player,pos,sleeper,underdog,espn,ffc
Josh Allen,QB,28.2,36.0,22.6,21.4
Lamar Jackson,QB,37.9,55.4,39.9,50.6
Drake Maye,QB,51.2,66.9,48.0,63.3
Joe Burrow,QB,57.1,68.6,60.1,45.2
Jayden Daniels,QB,62.1,67.9,52.0,78.3
Jalen Hurts,QB,67.2,71.6,54.6,89.5
Jaxson Dart,QB,80.6,101.3,74.9,120.3
Caleb Williams,QB,82.9,72.5,91.9,99.9
Justin Herbert,QB,83.7,82.8,108.7,79.2
Dak Prescott,QB,90.3,80.4,88.0,62.1
Trevor Lawrence,QB,92.3,85.7,95.5,87.3
Patrick Mahomes,QB,100.1,95.6,105.9,95.1
Brock Purdy,QB,103.5,100.2,103.9,91.6
Matthew Stafford,QB,115.2,106.0,78.8,99.1
Bo Nix,QB,118.7,106.6,91.8,125.1
Jared Goff,QB,122.0,109.7,140.2,103.1
Jordan Love,QB,124.8,113.7,159.3,134.1
Malik Willis,QB,137.8,135.5,167.0,
Baker Mayfield,QB,140.9,119.2,148.8,136.6
Kyler Murray,QB,142.2,112.9,150.0,144.1
Tyler Shough,QB,144.4,123.7,154.1,152.9
C.J. Stroud,QB,163.4,145.1,165.9,
Sam Darnold,QB,165.3,142.9,163.5,158.9
Cam Ward,QB,165.9,142.0,167.4,
Fernando Mendoza,QB,169.5,184.6,167.2,
Bryce Young,QB,194.2,160.9,168.4,
Daniel Jones,QB,195.1,147.0,160.4,170.2
Jacoby Brissett,QB,200.9,192.4,170.1,
J.J. McCarthy,QB,224.2,215.8,169.6,
Shedeur Sanders,QB,225.8,211.9,169.2,
Michael Penix Jr.,QB,227.9,215.4,170.0,
Tua Tagovailoa,QB,236.5,208.2,170.2,
Ty Simpson,QB,241.8,,169.9,
Aaron Rodgers,QB,,177.4,169.3,
Geno Smith,QB,,186.5,170.5,
Kirk Cousins,QB,,214.9,170.0,
Deshaun Watson,QB,,215.5,169.9,
Carson Beck,QB,,215.7,169.9,
Jalen Milroe,QB,,215.9,169.9,
Philip Rivers,QB,,,169.7,
Justin Fields,QB,,,169.9,
Mac Jones,QB,,,169.9,
Jameis Winston,QB,,,169.9,
Anthony Richardson Sr.,QB,,,169.9,
Tommy DeVito,QB,,,169.9,
Tyson Bagent,QB,,,169.9,
Tanner McKee,QB,,,169.9,
Drew Allar,QB,,,169.9,
Teddy Bridgewater,QB,,,169.9,
Tyrod Taylor,QB,,,169.9,
Kenny Pickett,QB,,,169.9,
Cade Klubnik,QB,,,169.9,
Drew Lock,QB,,,169.9,
Quinn Ewers,QB,,,169.9,
Stetson Bennett IV,QB,,,169.9,
Joe Milton III,QB,,,169.9,
Will Howard,QB,,,169.9,
Joe Flacco,QB,,,169.9,
Trey Lance,QB,,,170.0,
Jarrett Stidham,QB,,,170.0,
Nick Mullens,QB,,,170.0,
Jake Browning,QB,,,170.0,
Marcus Mariota,QB,,,170.0,
Sam Howell,QB,,,170.0,
Riley Leonard,QB,,,170.0,
Spencer Rattler,QB,,,170.0,
Tyler Huntley,QB,,,170.0,
Davis Mills,QB,,,170.0,
Kyle Allen,QB,,,170.0,
Mitchell Trubisky,QB,,,170.0,
Gardner Minshew II,QB,,,170.0,
Brandon Allen,QB,,,170.0,
Cooper Rush,QB,,,170.0,
Mason Rudolph,QB,,,170.0,
Easton Stick,QB,,,170.0,
Carson Wentz,QB,,,170.0,
Andy Dalton,QB,,,170.0,
Case Keenum,QB,,,170.0,
Josh Johnson,QB,,,170.0,
Zach Wilson,QB,,,170.0,
Sam Ehlinger,QB,,,170.0,
Bailey Zappe,QB,,,170.0,
Skylar Thompson,QB,,,170.0,
Chris Oladokun,QB,,,170.0,
Shane Buechele,QB,,,170.0,
Will Levis,QB,,,170.0,
Hendon Hooker,QB,,,170.0,
Sean Clifford,QB,,,170.0,
Aidan O'Connell,QB,,,170.0,
Dillon Gabriel,QB,,,170.0,
Graham Mertz,QB,,,170.0,
Kurtis Rourke,QB,,,170.0,
Cam Miller,QB,,,170.0,
Kyle McCord,QB,,,170.0,
Brady Cook,QB,,,170.0,
Max Brosmer,QB,,,170.0,
Kedon Slovis,QB,,,170.0,
