year,name,adp
2021,Patrick Mahomes,14.6
2021,Josh Allen,26.6
2021,Kyler Murray,35.9
2021,Lamar Jackson,44.0
2021,Aaron Rodgers,52.1
2021,Dak Prescott,54.0
2021,Justin Herbert,61.2
2021,Russell Wilson,63.4
2021,Tom Brady,72.7
2021,Matthew Stafford,82.0
2021,Ryan Tannehill,88.6
2021,Jalen Hurts,94.0
2021,Joe Burrow,105.7
2021,Matt Ryan,118.8
2021,Trey Lance,120.2
2021,Trevor Lawrence,126.3
2021,Justin Fields,128.0
2021,Deshaun Watson,132.1
2021,Baker Mayfield,135.2
2021,Jameis Winston,143.9
2021,Kirk Cousins,154.0
2021,Mac Jones,154.0
2021,Tua Tagovailoa,155.5
2021,Derek Carr,159.1
2021,Zach Wilson,165.1
2021,Carson Wentz,165.4
2022,Josh Allen,16.7
2022,Lamar Jackson,37.5
2022,Jalen Hurts,38.8
2022,Justin Herbert,41.2
2022,Patrick Mahomes,47.2
2022,Joe Burrow,60.4
2022,Aaron Rodgers,64.3
2022,Kyler Murray,64.9
2022,Russell Wilson,70.7
2022,Matthew Stafford,78.2
2022,Dak Prescott,81.9
2022,Tom Brady,83.6
2022,Trey Lance,95.1
2022,Derek Carr,101.7
2022,Kirk Cousins,106.1
2022,Tua Tagovailoa,124.5
2022,Matt Ryan,128.0
2022,Deshaun Watson,135.1
2022,Jameis Winston,143.0
2022,Justin Fields,145.4
2022,Trevor Lawrence,145.9
2022,Mac Jones,150.9
2023,Patrick Mahomes,16.6
2023,Josh Allen,22.1
2023,Jalen Hurts,22.5
2023,Joe Burrow,39.2
2023,Lamar Jackson,45.0
2023,Justin Herbert,55.2
2023,Justin Fields,55.6
2023,Trevor Lawrence,67.7
2023,Deshaun Watson,78.6
2023,Dak Prescott,90.3
2023,Kirk Cousins,95.5
2023,Tua Tagovailoa,96.7
2023,Aaron Rodgers,97.7
2023,Anthony Richardson,111.1
2023,Geno Smith,113.8
2023,Jared Goff,117.6
2023,Daniel Jones,118.2
2023,Russell Wilson,132.3
2023,Derek Carr,137.2
2023,Brock Purdy,151.5
2023,Matthew Stafford,152.1
2023,Kenny Pickett,153.0
2023,Taysom Hill,153.2
2023,Jordan Love,158.0
2024,Josh Allen,23.9
2024,Patrick Mahomes,26.3
2024,Lamar Jackson,35.1
2024,Jalen Hurts,37.0
2024,C.J. Stroud,40.8
2024,Joe Burrow,50.7
2024,Dak Prescott,56.1
2024,Anthony Richardson,56.7
2024,Jordan Love,66.0
2024,Brock Purdy,75.4
2024,Kyler Murray,78.2
2024,Tua Tagovailoa,82.0
2024,Jared Goff,96.1
2024,Trevor Lawrence,103.0
2024,Caleb Williams,103.4
2024,Jayden Daniels,106.3
2024,Justin Herbert,108.7
2024,Aaron Rodgers,119.1
2024,Kirk Cousins,123.6
2024,Matthew Stafford,128.9
2024,Taysom Hill,130.7
2024,Bo Nix,150.0
2024,Deshaun Watson,160.3
