player_id,name,team,clay_rank,clay_ppr,clay_games,carries,rush_yds,rush_td,targets,rec,rec_yds,rec_td,clay_carry_share,clay_target_share
00-0039139,Jahmyr Gibbs,DET,1,365,17,283,1374,15,86,68,547,3,0.6551,0.7963
00-0038542,Bijan Robinson,ATL,2,353,17,287,1374,8,99,76,707,3,0.6801,0.9
00-0033280,Christian McCaffrey,SF,3,343,17,274,1131,9,100,79,685,5,0.7062,0.7042
00-0036223,Jonathan Taylor,IND,4,317,17,327,1510,12,63,51,381,1,0.8743,0.8077
00-0039040,De'Von Achane,MIA,5,293,17,258,1305,5,80,65,512,3,0.7107,0.8421
00-0040122,Ashton Jeanty,LV,6,281,17,281,1136,7,87,65,495,2,0.7513,0.8447
00-0040666,Omarion Hampton,LAC,7,279,17,270,1153,10,69,56,393,2,0.7278,0.6449
00-0037248,James Cook,BUF,8,279,17,300,1400,11,46,36,302,2,0.7833,0.5287
00-0041027,Jeremiyah Love,ARI,9,279,17,255,1129,7,86,65,489,2,0.7244,0.789
00-0032764,Derrick Henry,BAL,10,274,17,317,1482,13,28,21,211,1,0.8025,0.3333
00-0034844,Saquon Barkley,PHI,11,274,17,301,1287,9,59,43,371,2,0.7659,0.7468
00-0035700,Josh Jacobs,GB,12,274,17,300,1239,13,47,36,281,2,0.7712,0.5595
00-0038120,Breece Hall,NYJ,13,273,17,265,1163,8,64,52,436,3,0.6848,0.6337
00-0038134,Ken Walker III,KC,14,273,17,276,1233,9,60,48,375,2,0.7282,0.6452
00-0038597,Chase Brown,CIN,15,272,17,240,1046,7,80,64,435,3,0.6434,0.7767
00-0036997,Javonte Williams,DAL,16,259,17,287,1256,11,51,37,218,2,0.7303,0.6456
00-0040715,Cam Skattebo,NYG,17,242,17,249,1047,7,61,49,365,2,0.6518,0.6703
00-0036973,Travis Etienne,NO,18,242,17,258,1120,6,60,45,376,2,0.6515,0.5769
00-0037840,Kyren Williams,LAR,19,232,17,237,1071,10,45,33,224,2,0.5656,0.6716
00-0040784,Quinshon Judkins,CLE,20,225,17,316,1240,7,41,32,221,1,0.8427,0.5
00-0036275,D'Andre Swift,CHI,21,212,17,219,995,8,41,30,270,1,0.5328,0.5325
00-0040734,TreVeyon Henderson,NE,22,208,17,194,854,7,52,43,300,2,0.5344,0.5
00-0039361,Bucky Irving,TB,23,208,17,244,994,5,45,37,294,2,0.601,0.4018
00-0040719,Bhayshul Tuten,JAX,24,205,17,237,991,7,45,34,250,1,0.687,0.5696
00-0041512,Jadarian Price,SEA,25,194,17,223,923,8,35,27,212,1,0.5439,0.473
00-0035685,David Montgomery,HOU,26,192,17,214,930,7,38,31,231,1,0.5722,0.5352
00-0037228,Jaylen Warren,PIT,27,191,17,180,790,4,57,46,319,1,0.4369,0.5534
00-0036875,Rhamondre Stevenson,NE,28,191,17,169,722,7,47,38,313,2,0.4656,0.4519
00-0035261,Tony Pollard,TEN,29,190,17,247,1076,6,39,30,181,0,0.6786,0.3679
00-0033293,Aaron Jones,MIN,30,189,17,170,740,4,61,47,344,2,0.4722,0.6778
00-0036139,Rico Dowdle,PIT,31,185,17,223,973,5,40,29,210,1,0.5413,0.3883
00-0036555,Chuba Hubbard,CAR,32,183,17,193,776,4,52,41,304,1,0.5052,0.5253
00-0036919,Kenneth Gainwell,TB,33,178,17,118,522,5,64,52,342,2,0.2906,0.5714
00-0040236,Kyle Monangai,CHI,34,176,17,192,826,6,36,26,215,1,0.4672,0.4675
00-0037256,Rachaad White,WAS,35,174,17,135,567,5,52,47,293,2,0.3936,0.7222
00-0036158,J.K. Dobbins,DEN,36,172,17,213,994,7,23,17,105,1,0.6051,0.1933
00-0040730,RJ Harvey,DEN,37,167,17,106,431,4,62,49,366,3,0.3011,0.521
00-0039344,Jonathon Brooks,CAR,38,163,17,177,742,4,42,33,250,1,0.4634,0.4242
00-0039738,Blake Corum,LAR,39,159,17,182,838,7,22,17,117,1,0.4344,0.3284
00-0040242,Jacory Croskey-Merritt,WAS,40,151,17,196,846,7,15,13,87,0,0.5714,0.2083
00-0039032,Tyjae Spears,TEN,41,149,17,97,411,3,61,50,333,2,0.2665,0.5755
00-0039165,Zach Charbonnet,SEA,42,134,11,137,555,7,26,20,145,0,0.3341,0.3514
00-0037525,Jordan Mason,MIN,43,130,17,162,749,5,17,13,83,0,0.45,0.1889
00-0040583,Woody Marks,HOU,44,128,17,143,579,3,33,24,201,1,0.3824,0.4648
00-0033906,Alvin Kamara,NO,45,127,17,125,500,2,44,35,232,1,0.3157,0.4231
00-0037197,Isiah Pacheco,DET,46,124,17,149,640,5,22,17,114,1,0.3449,0.2037
00-0034975,Justice Hill,BAL,47,114,17,49,223,1,51,39,349,2,0.1241,0.6071
00-0033526,Samaje Perine,CIN,48,101,17,102,444,3,23,19,139,1,0.2735,0.2233
00-0037746,Brian Robinson Jr.,ATL,49,94,17,135,561,4,11,9,59,0,0.3199,0.1
00-0037263,Tyler Allgeier,ARI,50,91,17,97,385,3,23,18,126,0,0.2756,0.211
00-0039384,Tyrone Tracy Jr.,NYG,51,87,17,111,474,2,20,16,117,1,0.2906,0.2198
00-0040162,Dylan Sampson,CLE,52,87,17,55,227,1,36,30,207,1,0.1467,0.439
00-0035537,Ty Johnson,BUF,53,85,17,51,219,2,31,22,208,1,0.1332,0.3563
00-0039794,Braelon Allen,NYJ,54,76,17,83,348,3,16,13,90,0,0.2145,0.1584
00-0038611,Chris Rodriguez,JAX,55,71,17,100,431,3,6,4,29,0,0.2899,0.0759
00-0040878,Mike Washington Jr.,LV,56,65,17,89,365,2,11,8,60,0,0.238,0.1068
00-0039811,MarShawn Lloyd,GB,57,65,17,67,286,2,16,12,85,1,0.1722,0.1905
00-0038555,Tank Bigsby,PHI,58,64,17,83,373,3,5,4,29,0,0.2112,0.0633
00-0038454,Keaton Mitchell,LAC,59,64,17,62,294,2,16,12,93,0,0.1671,0.1495
00-0038705,Emari Demercado,KC,60,63,17,54,255,1,22,16,108,1,0.1425,0.2366
00-0040177,Jordan James,SF,61,61,17,75,321,2,11,8,63,0,0.1933,0.0775
00-0039798,Isaiah Davis,NYJ,62,51,17,39,178,1,16,13,95,0,0.1008,0.1584
00-0040586,Jaydon Blue,DAL,63,47,17,49,205,2,11,9,62,0,0.1247,0.1392
00-0040238,LeQuint Allen,JAX,64,46,17,8,34,0,28,22,148,1,0.0232,0.3544
00-0041013,Emmett Johnson,KC,65,46,17,49,205,2,11,8,59,0,0.1293,0.1183
00-0029892,Kyle Juszczyk,SF,66,45,17,4,19,0,26,20,162,1,0.0103,0.1831
00-0038685,Chris Brooks,GB,67,44,17,22,99,1,21,16,111,1,0.0566,0.25
00-0039874,Jaylen Wright,MIA,68,43,17,56,233,1,10,7,56,0,0.1543,0.1053
00-0039299,George Holani,SEA,69,41,17,39,164,2,11,8,62,0,0.0951,0.1486
00-0041496,Jonah Coleman,DEN,70,41,17,25,102,1,17,13,94,1,0.071,0.1429
00-0039391,Kimani Vidal,LAC,71,39,17,37,153,1,11,8,63,0,0.0997,0.1028
00-0039875,Ray Davis,BUF,72,38,17,32,138,1,10,8,60,0,0.0836,0.1149
00-0038951,Sean Tucker,TB,73,37,17,44,183,2,3,2,14,0,0.1084,0.0268
00-0040179,DJ Giddens,IND,74,36,17,34,141,1,10,9,57,0,0.0909,0.1282
00-0037563,Malik Davis,DAL,75,36,17,44,192,1,6,4,30,0,0.112,0.0759
00-0040198,Ollie Gordon II,MIA,76,35,17,49,203,1,5,4,28,0,0.135,0.0526
00-0041052,Kaelon Black,SF,77,29,17,35,147,1,5,4,31,0,0.0902,0.0352
00-0039746,Will Shipley,PHI,78,28,17,9,40,0,15,11,83,0,0.0229,0.1899
00-0040888,Adam Randall,BAL,79,25,17,29,121,1,5,4,29,0,0.0734,0.0595
00-0038738,Hunter Luepke,DAL,80,25,17,13,56,0,11,9,62,0,0.0331,0.1392
00-0041104,Demond Claiborne,MIN,81,24,17,26,110,1,6,5,29,0,0.0722,0.0667
00-0035250,Devin Singletary,NYG,82,20,17,22,89,1,5,4,26,0,0.0576,0.0549
00-0040886,Nicholas Singleton,TEN,83,20,17,20,83,1,6,4,30,0,0.0549,0.0566
00-0037085,Tyler Badie,DEN,84,19,17,4,18,0,11,8,65,0,0.0114,0.0924
00-0040208,Tahj Brooks,CIN,85,18,17,31,129,1,0,0,0,0,0.0831,0.0
00-0040644,Trevor Etienne,CAR,86,17,17,12,52,0,5,4,30,0,0.0314,0.0505
00-0035125,Alec Ingold,LAC,87,16,17,2,9,0,11,8,58,0,0.0054,0.1028
00-0041096,Kaytron Allen,WAS,88,16,17,12,51,0,5,4,29,0,0.035,0.0694
00-0041125,Seth McGowan,IND,89,16,17,13,52,0,5,4,29,0,0.0348,0.0641
00-0036727,Adam Prentice,DEN,90,10,17,4,17,0,6,4,30,0,0.0114,0.0504
00-0037304,Connor Heyward,LV,91,10,17,4,18,0,5,4,29,0,0.0107,0.0485
00-0031595,Michael Burton,CLE,92,10,17,4,18,0,5,4,26,0,0.0107,0.061
00-0038797,Emanuel Wilson,SEA,93,10,6,11,48,0,2,1,10,0,0.0268,0.027
00-0041081,Max Bredeson,MIN,94,10,17,2,8,0,6,5,29,0,0.0056,0.0667
00-0034959,Andrew Beck,NYJ,95,8,17,0,0,0,5,4,28,0,0.0,0.0495
00-0041398,Riley Nowakowski,PIT,96,8,17,0,0,0,6,4,29,0,0.0,0.0583
00-0036187,Reggie Gilliam,NE,97,8,17,0,0,0,5,4,30,0,0.0,0.0481
00-0033376,Patrick Ricard,NYG,98,7,17,0,0,0,5,4,27,0,0.0,0.0549
00-0038551,Kendre Miller,NO,99,7,17,13,55,0,0,0,0,0,0.0328,0.0
00-0039405,Jawhar Jordan,HOU,100,7,17,13,54,0,0,0,0,0,0.0348,0.0
00-0040142,Kaleb Johnson,PIT,101,5,17,9,36,0,0,0,0,0,0.0218,0.0
00-0039603,British Brooks,HOU,102,2,17,4,18,0,0,0,0,0,0.0107,0.0
00-0036842,Kene Nwangwu,NYJ,103,2,17,0,0,0,0,0,0,0,0.0,0.0
00-0039363,Isaac Guerendo,SF,104,1,17,0,0,0,0,0,0,0,0.0,0.0
00-0040078,Brashard Smith,KC,105,1,17,0,0,0,0,0,0,0,0.0,0.0
00-0037157,Bam Knight,ARI,106,1,17,0,0,0,0,0,0,0,0.0,0.0
00-0039407,Dylan Laube,LV,107,1,17,0,0,0,0,0,0,0,0.0,0.0
00-0039796,Rasheen Ali,BAL,108,0,17,0,0,0,0,0,0,0,0.0,0.0
00-0038896,Jacob Saylors,DET,109,0,17,0,0,0,0,0,0,0,0.0,0.0
00-0036425,DeeJay Dallas,JAX,110,0,17,0,0,0,0,0,0,0,0.0,0.0
00-0040429,Josh Williams,TB,111,0,17,0,0,0,0,0,0,0,0.0,0.0
