player_id,name,team,clay_rank,clay_ppr,clay_games,carries,rush_yds,rush_td,targets,rec,rec_yds,rec_td,clay_target_share,clay_targ_pct,clay_yards_share
00-0037744,Trey McBride,ARI,1,242,17,0,0,0,149,108,1024,5,0.2623,0.26,0.2616
00-0039338,Brock Bowers,LV,2,240,17,4,16,0,135,98,996,7,0.2519,0.25,0.2587
00-0040128,Tyler Warren,IND,3,208,17,6,14,0,115,86,872,5,0.2224,0.22,0.2256
00-0040126,Colston Loveland,CHI,4,206,17,0,0,0,118,80,898,6,0.2318,0.23,0.2276
00-0039065,Sam LaPorta,DET,5,189,17,0,0,0,102,78,788,5,0.1914,0.19,0.1823
00-0040663,Harold Fannin Jr.,CLE,6,187,17,9,21,0,119,83,817,3,0.2329,0.23,0.2248
00-0036970,Kyle Pitts,ATL,7,185,17,0,0,0,115,80,857,3,0.2122,0.21,0.213
00-0033288,George Kittle,SF,8,177,15,0,0,0,88,70,762,5,0.1673,0.17,0.1761
00-0030506,Travis Kelce,KC,9,177,17,0,0,0,103,74,770,4,0.1897,0.19,0.1863
00-0034351,Dallas Goedert,PHI,10,177,17,0,0,0,93,70,726,6,0.1914,0.19,0.1862
00-0038996,Tucker Kraft,GB,11,172,17,2,8,0,94,68,775,4,0.1794,0.18,0.1876
00-0034753,Mark Andrews,BAL,12,170,17,10,35,1,84,58,618,7,0.1834,0.18,0.1567
00-0038041,Jake Ferguson,DAL,13,167,17,0,0,0,96,73,599,6,0.1699,0.17,0.1404
00-0041032,Kenyon Sadiq,NYJ,14,162,17,0,0,0,90,67,692,4,0.1698,0.17,0.1748
00-0035229,T.J. Hockenson,MIN,15,158,17,0,0,0,100,78,639,3,0.1799,0.18,0.162
00-0037838,Isaiah Likely,NYG,16,156,17,0,0,0,86,64,684,4,0.1706,0.17,0.1783
00-0038933,Dalton Kincaid,BUF,17,156,17,0,0,0,82,59,698,4,0.1602,0.16,0.171
00-0033090,Hunter Henry,NE,18,150,17,0,0,0,78,56,628,5,0.1515,0.15,0.1493
00-0036040,Juwan Johnson,NO,19,143,17,0,0,0,88,64,637,3,0.163,0.16,0.1589
00-0038935,Brenton Strange,JAX,20,142,17,0,0,0,85,59,598,4,0.1515,0.15,0.1469
00-0036894,Pat Freiermuth,PIT,21,136,17,0,0,0,85,60,601,3,0.1499,0.15,0.153
00-0040737,Terrance Ferguson,LAR,22,136,17,0,0,0,73,46,580,5,0.1299,0.13,0.131
