player_id,name,team,clay_rank,clay_ppr,clay_games,carries,rush_yds,rush_td,targets,rec,rec_yds,rec_td,clay_target_share,clay_targ_pct,clay_yards_share
00-0039075,Puka Nacua,LAR,1,357,17,16,106,1,174,123,1590,10,0.3096,0.31,0.3591
00-0036900,Ja'Marr Chase,CIN,2,336,17,4,21,0,172,119,1507,11,0.3007,0.3,0.3516
00-0038543,Jaxon Smith-Njigba,SEA,3,327,17,5,25,0,166,117,1569,9,0.3333,0.33,0.3815
00-0036963,Amon-Ra St. Brown,DET,4,325,17,2,13,0,167,118,1430,10,0.3133,0.31,0.3309
00-0036358,CeeDee Lamb,DAL,5,294,17,2,13,0,158,104,1379,9,0.2796,0.28,0.3233
00-0036322,Justin Jefferson,MIN,6,294,17,2,11,0,166,111,1376,7,0.2986,0.3,0.3489
00-0039067,Rashee Rice,KC,7,270,17,8,43,1,136,96,1132,9,0.2505,0.25,0.2738
00-0037238,Drake London,ATL,8,270,17,0,0,0,159,102,1249,7,0.2934,0.29,0.3104
00-0036554,Nico Collins,HOU,9,249,17,2,12,0,137,86,1211,7,0.2528,0.25,0.2985
00-0035676,A.J. Brown,NE,10,248,17,0,0,0,130,86,1215,7,0.2524,0.25,0.2889
00-0037740,Garrett Wilson,NYJ,11,248,17,2,11,0,149,100,1164,5,0.2811,0.28,0.2941
00-0037239,Chris Olave,NO,12,245,17,0,0,0,142,90,1163,6,0.263,0.26,0.2902
00-0040124,Tetairoa McMillan,CAR,13,240,17,0,0,0,141,83,1200,6,0.2701,0.27,0.3161
00-0037247,George Pickens,DAL,14,239,17,0,0,0,124,80,1114,8,0.2195,0.22,0.2611
00-0039064,Zay Flowers,BAL,15,239,17,10,57,0,117,82,1173,6,0.2555,0.25,0.2975
00-0036912,DeVonta Smith,PHI,16,239,17,0,0,0,128,90,1129,6,0.2634,0.26,0.2896
00-0031381,Davante Adams,LAR,17,233,17,0,0,0,124,68,1016,11,0.2206,0.22,0.2294
00-0039337,Malik Nabers,NYG,18,232,16,4,22,0,129,81,1069,7,0.256,0.25,0.2787
00-0040129,Emeka Egbuka,TB,19,229,17,2,12,0,128,70,1128,7,0.242,0.24,0.2854
00-0039915,Ladd McConkey,LAC,20,220,17,0,0,0,122,80,1034,6,0.2302,0.23,0.2589
00-0036410,Tee Higgins,CIN,21,219,17,0,0,0,114,73,955,8,0.1993,0.2,0.2228
00-0035659,Terry McLaurin,WAS,22,218,17,0,0,0,119,80,1036,6,0.2311,0.23,0.2577
00-0036613,Jaylen Waddle,DEN,23,213,17,2,12,0,119,77,991,6,0.2102,0.21,0.2456
00-0039919,Rome Odunze,CHI,24,213,17,0,0,0,118,59,1029,8,0.2318,0.23,0.2608
00-0041438,Carnell Tate,TEN,25,211,17,0,0,0,127,78,1068,5,0.2297,0.23,0.2733
00-0034827,DJ Moore,BUF,26,210,17,7,36,0,107,67,946,7,0.209,0.21,0.2317
00-0037240,Jameson Williams,DET,27,209,17,7,45,1,102,64,1029,6,0.1914,0.19,0.2381
00-0040735,Luther Burden III,CHI,28,206,17,9,50,0,113,75,938,5,0.222,0.22,0.2377
00-0034348,Courtland Sutton,DEN,29,204,17,0,0,0,119,69,893,8,0.2102,0.21,0.2213
