season,team,playcaller,role,tree
2026,ARI,Mike LaFleur,OC,mcshanahan
2026,ATL,Tommy Rees,OC,other
2026,BAL,Declan Doyle,OC,other
2026,BUF,Joe Brady,HC,other
2026,CAR,Dave Canales,HC,other
2026,CHI,Ben Johnson,HC,other
2026,CIN,Zac Taylor,HC,mcshanahan
2026,CLE,Todd Monken,HC,other
2026,DAL,Brian Schottenheimer,HC,other
2026,DEN,Sean Payton,HC,other
2026,DET,Drew Petzing,OC,other
2026,GB,Matt LaFleur,HC,mcshanahan
2026,HOU,Nick Caley,OC,mcshanahan
2026,IND,Shane Steichen,HC,other
2026,JAX,Liam Coen,HC,mcshanahan
2026,KC,Andy Reid,HC,other
2026,LV,Klint Kubiak,HC,mcshanahan
2026,LAC,Mike McDaniel,OC,mcshanahan
2026,LA,Sean McVay,HC,mcshanahan
2026,MIA,Bobby Slowik,OC,mcshanahan
2026,MIN,Kevin O'Connell,HC,mcshanahan
2026,NE,Josh McDaniels,OC,other
2026,NO,Kellen Moore,HC,other
2026,NYG,Matt Nagy,OC,other
2026,NYJ,Frank Reich,OC,other
2026,PHI,Sean Mannion,OC,mcshanahan
2026,PIT,Mike McCarthy,HC,other
2026,SF,Kyle Shanahan,HC,mcshanahan
2026,SEA,Brian Fleury,OC,mcshanahan
2026,TB,Zac Robinson,OC,mcshanahan
2026,TEN,Brian Daboll,OC,other
2026,WAS,David Blough,OC,other
