season,team,wt
2021,ARI,11.5
2021,ATL,7.5
2021,BAL,9.5
2021,BUF,10.5
2021,CAR,5.5
2021,CHI,5.5
2021,CIN,9.5
2021,CLE,8.5
2021,DAL,11.5
2021,DEN,8.5
2021,DET,2.5
2021,GB,13.5
2021,HOU,3.5
2021,IND,9.5
2021,JAX,2.5
2021,KC,12.5
2021,LA,11.5
2021,LAC,10.5
2021,LV,8.5
2021,MIA,8.5
2021,MIN,8.5
2021,NE,11.5
2021,NO,8.5
2021,NYG,5.5
2021,NYJ,3.5
2021,PHI,8.5
2021,PIT,7.5
2021,SEA,6.5
2021,SF,9.5
2021,TB,12.5
2021,TEN,10.5
2021,WAS,7.5
2022,ARI,9.5
2022,ATL,4.5
2022,BAL,9.5
2022,BUF,11.5
2022,CAR,6.5
2022,CHI,6.5
2022,CIN,9.5
2022,CLE,8.5
2022,DAL,10.5
2022,DEN,10.5
2022,DET,6.5
2022,GB,10.5
2022,HOU,4.5
2022,IND,9.5
2022,JAX,6.5
2022,KC,10.5
2022,LA,10.5
2022,LAC,10.5
2022,LV,8.5
2022,MIA,8.5
2022,MIN,8.5
2022,NE,8.5
2022,NO,8.5
2022,NYG,7.5
2022,NYJ,5.5
2022,PHI,9.5
2022,PIT,7.5
2022,SEA,5.5
2022,SF,9.5
2022,TB,11.5
2022,TEN,9.5
2022,WAS,8.5
2023,ARI,5.5
2023,ATL,8.0
2023,BAL,9.5
2023,BUF,10.5
2023,CAR,7.5
2023,CHI,7.5
2023,CIN,11.5
2023,CLE,8.5
2023,DAL,9.5
2023,DEN,8.5
2023,DET,9.5
2023,GB,7.5
2023,HOU,5.5
2023,IND,6.5
2023,JAX,9.5
2023,KC,11.5
2023,LA,7.5
2023,LAC,9.5
2023,LV,7.5
2023,MIA,9.5
2023,MIN,8.5
2023,NE,7.5
2023,NO,9.5
2023,NYG,8.5
2023,NYJ,9.5
2023,PHI,10.5
2023,PIT,8.5
2023,SEA,8.5
2023,SF,11.5
2023,TB,6.5
2023,TEN,7.5
2023,WAS,7.5
2024,ARI,6.5
2024,ATL,9.5
2024,BAL,11.5
2024,BUF,10.5
2024,CAR,4.5
2024,CHI,8.5
2024,CIN,10.5
2024,CLE,8.5
2024,DAL,10.5
2024,DEN,5.5
2024,DET,10.5
2024,GB,10.5
2024,HOU,9.5
2024,IND,8.5
2024,JAX,8.5
2024,KC,11.5
2024,LA,8.5
2024,LAC,8.5
2024,LV,6.5
2024,MIA,9.5
2024,MIN,6.5
2024,NE,4.5
2024,NO,7.5
2024,NYG,6.5
2024,NYJ,9.5
2024,PHI,10.5
2024,PIT,8.5
2024,SEA,7.5
2024,SF,11.5
2024,TB,8.5
2024,TEN,6.5
2024,WAS,6.5
2025,ARI,8.5
2025,ATL,7.5
2025,BAL,11.5
2025,BUF,11.5
2025,CAR,6.5
2025,CHI,8.5
2025,CIN,9.5
2025,CLE,4.5
2025,DAL,7.5
2025,DEN,9.5
2025,DET,10.5
2025,GB,10.5
2025,HOU,9.5
2025,IND,7.5
2025,JAX,7.5
2025,KC,11.5
2025,LA,9.5
2025,LAC,9.5
2025,LV,6.5
2025,MIA,7.5
2025,MIN,8.5
2025,NE,8.5
2025,NO,5.5
2025,NYG,5.5
2025,NYJ,5.5
2025,PHI,11.5
2025,PIT,8.5
2025,SEA,8.5
2025,SF,10.5
2025,TB,9.5
2025,TEN,5.5
2025,WAS,9.5
2026,ARI,4.5
2026,ATL,7.5
2026,BAL,11.5
2026,BUF,10.5
2026,CAR,7.5
2026,CHI,9.5
2026,CIN,9.5
2026,CLE,5.5
2026,DAL,8.5
2026,DEN,9.5
2026,DET,10.5
2026,GB,10.5
2026,HOU,9.5
2026,IND,8.5
2026,JAX,9.5
2026,KC,10.5
2026,LA,11.5
2026,LAC,9.5
2026,LV,5.5
2026,MIA,4.5
2026,MIN,8.5
2026,NE,9.5
2026,NO,7.5
2026,NYG,7.5
2026,NYJ,5.5
2026,PHI,10.5
2026,PIT,7.5
2026,SEA,10.5
2026,SF,10.5
2026,TB,8.5
2026,TEN,6.5
2026,WAS,7.5
